Well	TP	OD	SP	ABV	InitialOD	Hour	Plate	GR	SP_ABV
A2	TP 55	0.010900006	HU	0	0.000279	9.001027778	D3	0.40720981	HU_0
A2	TP 56	0.011900008	HU	0	0.000279	9.167722222	D3	0.409380046	HU_0
A2	TP 57	0.012699999	HU	0	0.000279	9.334388889	D3	0.409040747	HU_0
A2	TP 58	0.014000006	HU	0	0.000279	9.501083333	D3	0.412121557	HU_0
A2	TP 59	0.015799999	HU	0	0.000279	9.667777778	D3	0.417526497	HU_0
A2	TP 60	0.017499991	HU	0	0.000279	9.834472222	D3	0.420840464	HU_0
A2	TP 61	0.018799998	HU	0	0.000279	10.00113889	D3	0.420992079	HU_0
A8	TP 61	0.010299996	HU	0	0.000292	10.00113889	D3	0.356273918	HU_0
A8	TP 62	0.010800004	HU	0	0.000292	10.16783333	D3	0.355095118	HU_0
A8	TP 63	0.011500001	HU	0	0.000292	10.33452778	D3	0.355444262	HU_0
B2	TP 63	0.010600008	HU	0.5	0.000297	10.33452778	D3	0.345915941	HU_0.5
A8	TP 64	0.012900002	HU	0	0.000292	10.50119444	D3	0.360742674	HU_0
B2	TP 64	0.011399999	HU	0.5	0.000297	10.50119444	D3	0.347354432	HU_0.5
A8	TP 65	0.013900004	HU	0	0.000292	10.66788889	D3	0.362104505	HU_0
B2	TP 65	0.012800008	HU	0.5	0.000297	10.66788889	D3	0.35278479	HU_0.5
A8	TP 66	0.0145	HU	0	0.000292	10.83458333	D3	0.360433805	HU_0
B2	TP 66	0.014500007	HU	0.5	0.000297	10.83458333	D3	0.358866802	HU_0.5
A8	TP 67	0.015599996	HU	0	0.000292	11.00125	D3	0.361620009	HU_0
B2	TP 67	0.016099997	HU	0.5	0.000297	11.00125	D3	0.362944412	HU_0.5
A8	TP 68	0.01659999	HU	0	0.000292	11.16794444	D3	0.361785789	HU_0
B2	TP 68	0.017999999	HU	0.5	0.000297	11.16794444	D3	0.367515694	HU_0.5
A8	TP 69	0.0185	HU	0	0.000292	11.33463889	D3	0.366025972	HU_0
