COMP	Juice	Well	Day	ABV	DomSP	DomSP_Percent	DF	CR_Count	HU_Count	MP_Count	SC_Count	TD_Count	Total	CR	HU	MP	SC	TD
10	GEW	B2	1	0	CR	96	4	428	88	5	6	0	527	0.812144213	0.166982922	0.009487666	0.011385199	0
10	GEW	C2	1	0	HU	96	4	0	940	0	2	0	942	0	0.997876858	0	0.002123142	0
10	GEW	D2	1	0	MP	96	4	0	0	195	0	0	195	0	0	1	0	0
10	GEW	E2	1	0	SC	96	4	2	52	0	548	0	602	0.003322259	0.086378738	0	0.910299003	0
10	GEW	F2	1	0	TD	96	4	0	20	0	16	404	440	0	0.045454545	0	0.036363636	0.918181818
10	GEW	B3	1	0	CR	96	4	394	71	2	12	0	479	0.822546973	0.14822547	0.004175365	0.025052192	0
10	GEW	C3	1	0	HU	96	4	0	1008	0	4	0	1012	0	0.996047431	0	0.003952569	0
10	GEW	D3	1	0	MP	96	4	0	0	78	0	0	78	0	0	1	0	0
10	GEW	E3	1	0	SC	96	4	0	92	0	556	0	648	0	0.141975309	0	0.858024691	0
10	GEW	F3	1	0	TD	96	4	0	3	0	0	412	415	0	0.007228916	0	0	0.992771084
10	GEW	B4	1	0	CR	96	4	408	72	0	3	1	484	0.842975207	0.148760331	0	0.006198347	0.002066116
10	GEW	C4	1	0	HU	96	4	0	1024	0	5	0	1029	0	0.995140914	0	0.004859086	0
10	GEW	D4	1	0	MP	96	4	0	0	112	1	1	114	0	0	0.98245614	0.00877193	0.00877193
10	GEW	E4	1	0	SC	96	4	1	44	0	676	0	721	0.001386963	0.061026352	0	0.937586685	0
10	GEW	F4	1	0	TD	96	4	0	9	1	8	612	630	0	0.014285714	0.001587302	0.012698413	0.971428571
10	GEW	B5	1	2	CR	96	4	137	58	3	4	0	202	0.678217822	0.287128713	0.014851485	0.01980198	0
10	GEW	C5	1	2	HU	96	4	0	644	0	1	0	645	0	0.998449612	0	0.001550388	0
10	GEW	D5	1	2	MP	96	4	0	1	98	2	5	106	0	0.009433962	0.924528302	0.018867925	0.047169811
10	GEW	E5	1	2	SC	96	4	0	14	0	412	0	426	0	0.03286385	0	0.96713615	0
10	GEW	F5	1	2	TD	96	4	0	6	0	15	260	281	0	0.021352313	0	0.053380783	0.925266904
10	GEW	B6	1	2	CR	96	4	154	43	1	6	0	204	0.754901961	0.210784314	0.004901961	0.029411765	0
10	GEW	C6	1	2	HU	96	4	0	548	2	0	2	552	0	0.992753623	0.003623188	0	0.003623188
10	GEW	D6	1	2	MP	96	4	0	0	129	4	3	136	0	0	0.948529412	0.029411765	0.022058824
10	GEW	E6	1	2	SC	96	4	0	4	0	704	0	708	0	0.005649718	0	0.994350282	0
10	GEW	F6	1	2	TD	96	4	0	1	0	6	356	363	0	0.002754821	0	0.016528926	0.980716253
10	GEW	B7	1	2	CR	96	4	52	15	1	5	2	75	0.693333333	0.2	0.013333333	0.066666667	0.026666667
10	GEW	C7	1	2	HU	96	4	0	249	0	11	0	260	0	0.957692308	0	0.042307692	0
10	GEW	D7	1	2	MP	96	4	0	1	73	2	0	76	0	0.013157895	0.960526316	0.026315789	0
10	GEW	E7	1	2	SC	96	4	0	0	0	560	0	560	0	0	0	1	0
10	GEW	F7	1	2	TD	96	4	0	3	0	3	236	242	0	0.012396694	0	0.012396694	0.975206612
10	GEW	B8	1	5	CR	96	4	58	2	0	11	1	72	0.805555556	0.027777778	0	0.152777778	0.013888889
10	GEW	C8	1	5	HU	96	4	0	90	0	2	0	92	0	0.97826087	0	0.02173913	0
10	GEW	D8	1	5	MP	96	4	0	0	36	0	0	36	0	0	1	0	0
10	GEW	E8	1	5	SC	96	4	0	0	0	700	0	700	0	0	0	1	0
10	GEW	F8	1	5	TD	96	4	0	7	0	0	159	166	0	0.042168675	0	0	0.957831325
10	GEW	B9	1	5	CR	96	4	32	3	1	2	0	38	0.842105263	0.078947368	0.026315789	0.052631579	0
10	GEW	C9	1	5	HU	96	4	0	16	0	2	0	18	0	0.888888889	0	0.111111111	0
10	GEW	D9	1	5	MP	96	4	0	0	24	7	0	31	0	0	0.774193548	0.225806452	0
10	GEW	E9	1	5	SC	96	4	0	0	0	392	0	392	0	0	0	1	0
10	GEW	F9	1	5	TD	96	4	0	0	0	0	14	14	0	0	0	0	1
10	GEW	B10	1	5	CR	96	4	44	0	0	1	2	47	0.936170213	0	0	0.021276596	0.042553191
10	GEW	C10	1	5	HU	96	4	0	16	0	0	0	16	0	1	0	0	0
10	GEW	D10	1	5	MP	96	4	1	0	34	10	0	45	0.022222222	0	0.755555556	0.222222222	0
10	GEW	E10	1	5	SC	96	4	0	0	0	572	0	572	0	0	0	1	0
10	GEW	F10	1	5	TD	96	4	0	0	0	8	102	110	0	0	0	0.072727273	0.927272727
10	GEW	B2	3	0	CR	96	4	0	1104	0	28	0	1132	0	0.975265018	0	0.024734982	0
10	GEW	C2	3	0	HU	96	4	0	572	0	3	0	575	0	0.994782609	0	0.005217391	0
10	GEW	D2	3	0	MP	96	4	0	0	98	13	0	111	0	0	0.882882883	0.117117117	0
10	GEW	E2	3	0	SC	96	4	0	760	1	208	0	969	0	0.784313725	0.001031992	0.214654283	0
10	GEW	F2	3	0	TD	96	4	0	320	0	7	440	767	0	0.417209909	0	0.009126467	0.573663625
10	GEW	B3	3	0	CR	96	4	0	972	0	45	0	1017	0	0.955752212	0	0.044247788	0
10	GEW	C3	3	0	HU	96	4	0	780	0	7	0	787	0	0.991105464	0	0.008894536	0
10	GEW	D3	3	0	MP	96	4	0	0	51	0	0	51	0	0	1	0	0
10	GEW	E3	3	0	SC	96	4	0	544	0	336	0	880	0	0.618181818	0	0.381818182	0
10	GEW	F3	3	0	TD	96	4	0	43	0	10	684	737	0	0.05834464	0	0.013568521	0.928086839
10	GEW	B4	3	0	CR	96	4	0	688	0	55	0	743	0	0.925975774	0	0.074024226	0
10	GEW	C4	3	0	HU	96	4	0	1124	0	19	0	1143	0	0.983377078	0	0.016622922	0
10	GEW	D4	3	0	MP	96	4	0	0	85	38	0	123	0	0	0.691056911	0.308943089	0
10	GEW	E4	3	0	SC	96	4	0	636	0	252	0	888	0	0.716216216	0	0.283783784	0
10	GEW	F4	3	0	TD	96	4	0	36	0	22	468	526	0	0.068441065	0	0.041825095	0.88973384
10	GEW	B5	3	2	CR	96	4	1	732	0	56	0	789	0.001267427	0.927756654	0	0.070975919	0
10	GEW	C5	3	2	HU	96	4	0	428	0	0	0	428	0	1	0	0	0
10	GEW	D5	3	2	MP	96	4	0	3	15	129	5	152	0	0.019736842	0.098684211	0.848684211	0.032894737
10	GEW	E5	3	2	SC	96	4	0	196	0	180	0	376	0	0.521276596	0	0.478723404	0
10	GEW	F5	3	2	TD	96	4	0	80	0	12	292	384	0	0.208333333	0	0.03125	0.760416667
10	GEW	B6	3	2	CR	96	4	0	596	0	140	0	736	0	0.809782609	0	0.190217391	0
10	GEW	C6	3	2	HU	96	4	0	780	0	2	0	782	0	0.997442455	0	0.002557545	0
10	GEW	D6	3	2	MP	96	4	0	152	11	81	3	247	0	0.615384615	0.044534413	0.327935223	0.012145749
10	GEW	E6	3	2	SC	96	4	0	152	0	216	0	368	0	0.413043478	0	0.586956522	0
10	GEW	F6	3	2	TD	96	4	0	24	0	104	144	272	0	0.088235294	0	0.382352941	0.529411765
10	GEW	B7	3	2	CR	96	4	0	472	0	76	0	548	0	0.861313869	0	0.138686131	0
10	GEW	C7	3	2	HU	96	4	0	300	0	0	0	300	0	1	0	0	0
10	GEW	D7	3	2	MP	96	4	0	304	5	88	0	397	0	0.765743073	0.012594458	0.221662469	0
10	GEW	E7	3	2	SC	96	4	0	2	0	436	0	438	0	0.00456621	0	0.99543379	0
10	GEW	F7	3	2	TD	96	4	0	12	0	140	96	248	0	0.048387097	0	0.564516129	0.387096774
10	GEW	B8	3	5	CR	96	4	5	88	0	632	0	725	0.006896552	0.12137931	0	0.871724138	0
10	GEW	C8	3	5	HU	96	4	0	168	0	112	0	280	0	0.6	0	0.4	0
10	GEW	D8	3	5	MP	96	4	2	1	0	408	0	411	0.00486618	0.00243309	0	0.99270073	0
10	GEW	E8	3	5	SC	96	4	0	0	0	300	0	300	0	0	0	1	0
10	GEW	F8	3	5	TD	96	4	0	0	0	236	64	300	0	0	0	0.786666667	0.213333333
10	GEW	B9	3	5	CR	96	4	0	2	0	360	0	362	0	0.005524862	0	0.994475138	0
10	GEW	C9	3	5	HU	96	4	0	28	0	192	0	220	0	0.127272727	0	0.872727273	0
10	GEW	D9	3	5	MP	96	4	0	0	0	208	0	208	0	0	0	1	0
10	GEW	E9	3	5	SC	96	4	0	0	0	332	0	332	0	0	0	1	0
10	GEW	F9	3	5	TD	96	4	0	0	0	520	44	564	0	0	0	0.921985816	0.078014184
10	GEW	B10	3	5	CR	96	4	12	2	0	216	0	230	0.052173913	0.008695652	0	0.939130435	0
10	GEW	C10	3	5	HU	96	4	0	26	0	76	0	102	0	0.254901961	0	0.745098039	0
10	GEW	D10	3	5	MP	96	4	0	0	0	320	0	320	0	0	0	1	0
10	GEW	E10	3	5	SC	96	4	0	0	0	360	0	360	0	0	0	1	0
10	GEW	F10	3	5	TD	96	4	0	0	0	332	40	372	0	0	0	0.892473118	0.107526882
10	GEW	B2	5	0	CR	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	C2	5	0	HU	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	D2	5	0	MP	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	E2	5	0	SC	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	F2	5	0	TD	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	B3	5	0	CR	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	C3	5	0	HU	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	D3	5	0	MP	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	E3	5	0	SC	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
10	GEW	F3	5	0	TD	96	5	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
