SP_ABV	K	GR_Mean	GR_SD	SP	ABV	SEM	Score_Pairs	Score_5SP	Score_Pairs_MER	Score_5SP_Merlot
CR_0	0.630862492	0.316942753	0.001222662	CR	0	0.00032677	34.6	1.59	32.5	0.0
HU_0	0.895162511	0.382596276	0.027388266	HU	0	0.00664263	78.7	55.64	87.5	79.0
MP_0	0.962612498	0.312887225	0.01045058	MP	0	0.001940624	45.8	11.23	50	0.5
SC_0	1.370062518	0.264126288	0.011524591	SC	0	0.002352447	53.4	21.77	75	20.5
TD_0	1.417812514	0.241569601	0.004340109	TD	0	0.000868022	37.5	9.78	5	0.0
CR_1	0.667662519	0.244036426	0.005345162	CR	1	0.0018898	24.6	0.12	12.5	NA
HU_1	0.948512482	0.323236168	0.012984013	HU	1	0.006492007	79.2	28.11	87.5	NA
MP_1	0.946662533	0.232587812	0.006274837	MP	1	0.002371666	45.8	4.97	62.5	NA
SC_1	1.366862523	0.19815163	0.008101288	SC	1	0.001689235	65	37.63	75	NA
TD_1	1.405812549	0.17920749	0.00328508	TD	1	0.000848204	35.4	29.16	12.5	NA
CR_2	0.639062512	0.219261111	0.002301347	CR	2	0.000594205	15.8	0.04	5	0.0
HU_2	0.92916249	0.263227796	0.006471992	HU	2	0.002288195	81.4	60.62	87.5	90.8
MP_2	0.837462503	0.244206059	0.001962101	MP	2	0.000544189	37.5	1.93	50	0.0
SC_2	1.284362483	0.189378353	0.016675399	SC	2	0.003270315	72.8	29.6	75	9.2
TD_2	1.371662485	0.164326035	0.003026307	TD	2	0.000756577	42.5	7.8	32.5	0.0
CR_3	0.538012522	0.199212502	0.000820875	CR	3	0.000188322	15	0.12	0	NA
HU_3	0.897562492	0.221688209	0.003167757	HU	3	0.000914453	83.5	13.79	100	NA
MP_3	0.816162485	0.229135574	0.001310676	MP	3	0.000286013	33.3	0	37.5	NA
SC_3	1.270662474	0.205124709	0.012261282	SC	3	0.002276863	79	76.8	75	NA
TD_3	1.36271255	0.178858174	0.001675043	TD	3	0.000268222	39.2	9.29	37.5	NA
CR_4	0.333562496	0.169614975	0.000789217	CR	4	0.000168262	0	0.18	0	0.0
HU_4	0.818762499	0.172111125	0.003096824	HU	4	0.000893976	60.4	38.78	85	92.0
MP_4	0.605862486	0.202593402	0.000270169	MP	4	6.04E-05	33.3	0.08	37.5	0.0
SC_4	1.324012506	0.209577898	0.009731338	SC	4	0.0017478	97.9	60.96	90	8.0
TD_4	1.333112466	0.155891941	0.004680007	TD	4	0.000759197	58.3	0	37.5	0.0
CR_5	0.1750625	0	NA	CR	5	NA	0	0	0	NA
HU_5	0.6146625	0.178910876	0.00188322	HU	5	0.000470805	55	25.65	62.5	NA
MP_5	0.4209625	0.172624071	0.000463017	MP	5	0.000101039	40	0	37.5	NA
SC_5	1.3030125	0.213763198	0.013436563	SC	5	0.00245317	100	69.45	100	NA
TD_5	1.3444625	0.150306664	0.003415979	TD	5	0.000540114	44.4	4.89	50	NA
