Ferment	DF	Day	CR_Count	HU_Count	MP_Count	SC_Count	TD_Count	Total	CFU_per_uL	CR	HU	MP	SC	TD	Juice	DomSP	Rep
11	4	3	3	1	6	28	32	70	9333.333333	0.042857143	0.014285714	0.085714286	0.4	0.457142857	GEW	Even	1
12	4	3	1	0	1	28	49	79	10533.33333	0.012658228	0	0.012658228	0.35443038	0.620253165	GEW	Even	2
13	4	3	1	0	0	22	13	36	4800	0.027777778	0	0	0.611111111	0.361111111	GEW	Even	3
14	4	3	1	7	17	43	98	166	22133.33333	0.006024096	0.042168675	0.102409639	0.259036145	0.590361446	MER	Even	
15	4	3	0	2	4	135	3	144	19200	0	0.013888889	0.027777778	0.9375	0.020833333	GEW	MP	1
16	4	3	0	11	7	70	0	88	11733.33333	0	0.125	0.079545455	0.795454545	0	GEW	MP	2
17	4	3	0	0	7	60	0	67	8933.333333	0	0	0.104477612	0.895522388	0	GEW	MP	3
18	4	3	0	0	34	114	2	150	20000	0	0	0.226666667	0.76	0.013333333	MER	MP	
19	4	3	0	0	0	1	203	204	27200	0	0	0	0.004901961	0.995098039	GEW	TD	1
20	4	3	0	0	0	0	327	327	43600	0	0	0	0	1	GEW	TD	2
21	4	3	0	0	0	0	235	235	31333.33333	0	0	0	0	1	GEW	TD	3
22	4	3	0	0	1	19	149	169	22533.33333	0	0	0.00591716	0.112426036	0.881656805	MER	TD	
11	4	5	0	0	1	18	20	39	5200	0	0	0.025641026	0.461538462	0.512820513	GEW	Even	1
12	4	5	0	0	0	68	33	101	13466.66667	0	0	0	0.673267327	0.326732673	GEW	Even	2
13	4	5	0	0	0	65	18	83	11066.66667	0	0	0	0.78313253	0.21686747	GEW	Even	3
14	4	5	0	7	8	45	112	172	22933.33333	0	0.040697674	0.046511628	0.261627907	0.651162791	MER	Even	
15	4	5	0	1	0	64	0	65	8666.666667	0	0.015384615	0	0.984615385	0	GEW	MP	1
16	4	5	0	3	0	7	1	11	1466.666667	0	0.272727273	0	0.636363636	0.090909091	GEW	MP	2
17	4	5	0	0	0	1	0	1	133.3333333	0	0	0	1	0	GEW	MP	3
18	4	5	0	0	32	116	5	153	20400	0	0	0.209150327	0.758169935	0.032679739	MER	MP	
19	4	5	0	0	0	0	153	153	20400	0	0	0	0	1	GEW	TD	1
20	4	5	0	0	0	0	152	152	20266.66667	0	0	0	0	1	GEW	TD	2
21	4	5	0	0	0	0	122	122	16266.66667	0	0	0	0	1	GEW	TD	3
22	4	5	0	0	1	19	107	127	16933.33333	0	0	0.007874016	0.149606299	0.842519685	MER	TD	
11	4	7	0	0	1	55	32	88	11733.33333	0	0	0.011363636	0.625	0.363636364	GEW	Even	1
12	4	7	0	0	0	59	16	75	10000	0	0	0	0.786666667	0.213333333	GEW	Even	2
13	4	7	0	0	0	101	8	109	14533.33333	0	0	0	0.926605505	0.073394495	GEW	Even	3
14	4	7	0	1	3	23	57	84	11200	0	0.011904762	0.035714286	0.273809524	0.678571429	MER	Even	
15	4	7	0	0	0	48	0	48	6400	0	0	0	1	0	GEW	MP	1
16	4	7	0	0	0	28	0	28	3733.333333	0	0	0	1	0	GEW	MP	2
17	4	7	0	0	0	14	0	14	1866.666667	0	0	0	1	0	GEW	MP	3
18	4	7	0	0	16	102	0	118	15733.33333	0	0	0.13559322	0.86440678	0	MER	MP	
19	4	7	0	0	0	0	60	60	8000	0	0	0	0	1	GEW	TD	1
20	4	7	0	0	0	0	100	100	13333.33333	0	0	0	0	1	GEW	TD	2
21	4	7	0	0	0	0	113	113	15066.66667	0	0	0	0	1	GEW	TD	3
22	4	7	0	0	0	7	79	86	11466.66667	0	0	0	0.081395349	0.918604651	MER	TD	
11	4	11	0	0	0	26	0	26	3466.666667	0	0	0	1	0	GEW	Even	1
12	4	11	0	0	0	9	0	9	1200	0	0	0	1	0	GEW	Even	2
13	4	11	0	0	0	26	0	26	3466.666667	0	0	0	1	0	GEW	Even	3
14	4	11	0	0	0	93	66	159	21200	0	0	0	0.58490566	0.41509434	MER	Even	
15	4	11	0	0	0	75	0	75	10000	0	0	0	1	0	GEW	MP	1
16	4	11	0	0	0	39	0	39	5200	0	0	0	1	0	GEW	MP	2
17	4	11	0	0	0	2	0	2	266.6666667	0	0	0	1	0	GEW	MP	3
18	4	11	0	0	0	188	0	188	25066.66667	0	0	0	1	0	MER	MP	
19	4	11	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	TD	1
20	4	11	0	0	0	0	2	2	266.6666667	0	0	0	0	1	GEW	TD	2
21	4	11	0	0	0	1	24	25	3333.333333	0	0	0	0.04	0.96	GEW	TD	3
22	4	11	0	0	0	11	31	42	5600	0	0	0	0.261904762	0.738095238	MER	TD	
11	4	13	0	0	0	32	0	32	4266.666667	0	0	0	1	0	GEW	Even	1
12	4	13	0	0	0	4	0	4	533.3333333	0	0	0	1	0	GEW	Even	2
13	4	13	0	0	0	19	0	19	2533.333333	0	0	0	1	0	GEW	Even	3
14	4	13	0	0	0	86	60	146	19466.66667	0	0	0	0.589041096	0.410958904	MER	Even	
15	4	13	0	0	0	34	0	34	4533.333333	0	0	0	1	0	GEW	MP	1
16	4	13	0	0	0	6	0	6	800	0	0	0	1	0	GEW	MP	2
17	4	13	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	MP	3
18	4	13	0	0	0	221	0	221	29466.66667	0	0	0	1	0	MER	MP	
19	4	13	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	TD	1
20	4	13	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	TD	2
21	4	13	0	0	0	2	0	2	266.6666667	0	0	0	1	0	GEW	TD	3
22	4	13	0	0	0	49	36	85	11333.33333	0	0	0	0.576470588	0.423529412	MER	TD	
11	4	18	0	0	0	7	0	7	933.3333333	0	0	0	1	0	GEW	Even	1
12	4	18	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	Even	2
13	4	18	0	0	0	3	0	3	400	0	0	0	1	0	GEW	Even	3
14	4	18	0	0	0	73	29	102	13600	0	0	0	0.715686275	0.284313725	MER	Even	
15	4	18	0	0	0	7	0	7	933.3333333	0	0	0	1	0	GEW	MP	1
16	4	18	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	MP	2
17	4	18	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	MP	3
18	4	18	0	0	0	347	0	347	46266.66667	0	0	0	1	0	MER	MP	
19	4	18	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	TD	1
20	4	18	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	TD	2
21	4	18	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	GEW	TD	3
