Day	Ferment	Brix	SG	Density
0	1	21.5	NA	NA
0	2	25.5	NA	NA
0	3	21.5	NA	NA
0	4	25.5	NA	NA
0	5	21.5	NA	NA
0	6	25.5	NA	NA
0	7	21.5	NA	NA
0	8	25.5	NA	NA
0	9	21.5	NA	NA
0	10	25.5	NA	NA
0	11	21.5	NA	NA
0	12	21.5	NA	NA
0	13	21.5	NA	NA
0	14	25.5	NA	NA
0	15	21.5	NA	NA
0	16	21.5	NA	NA
0	17	21.5	NA	NA
0	18	25.5	NA	NA
0	19	21.5	NA	NA
0	20	21.5	NA	NA
0	21	21.5	NA	NA
0	22	25.5	NA	NA
3	1	19.4	1.08	1.078
3	2	23.8	1.1	1.098
3	3	13.6	1.055	1.053
3	4	22.5	1.094	1.091
3	5	19.4	1.08	1.077
3	6	24.8	1.104	1.102
3	7	6.6	1.026	1.023
3	8	18.9	1.078	1.075
3	9	11.2	1.045	1.042
3	10	22.7	1.095	1.092
3	11	13.8	1.056	1.053
3	12	13.6	1.055	1.052
3	13	13.1	1.053	1.049
3	14	21.8	1.091	1.087
3	15	15.2	1.061	1.058
3	16	14.7	1.059	1.056
3	17	14.1	1.057	1.054
3	18	22.6	1.094	1.091
3	19	12.4	1.05	1.046
3	20	11.8	1.047	1.044
3	21	12.1	1.049	1.045
3	22	21.4	1.089	1.085
5	1	18.6	1.077	1.074
5	2	24.2	1.102	1.099
5	3	13.5	1.054	1.052
5	4	21.1	1.087	1.084
5	5	17.5	1.071	1.069
5	6	23.5	1.099	1.096
5	7	2.1	1.008	1.005
5	8	14.4	1.058	1.055
5	9	7.8	1.031	1.028
5	10	18	1.074	1.071
5	11	10.6	1.042	1.039
5	12	9.4	1.038	1.035
5	13	9.3	1.037	1.034
5	14	19.8	1.082	1.078
5	15	11.2	1.045	1.041
5	16	11	1.044	1.041
5	17	12.5	1.05	1.047
5	18	20.9	1.086	1.083
5	19	9.3	1.037	1.034
5	20	7.5	1.03	1.027
5	21	8.7	1.035	1.031
5	22	17.7	1.073	1.069
7	1	16.8	1.069	1.066
7	2	22.3	1.093	1.09
7	3	13	1.052	1.049
7	4	19.9	1.082	1.079
7	5	17.1	1.07	1.067
7	6	21.3	1.088	1.085
7	7	1.5	1.006	1.003
7	8	10.1	1.04	1.037
7	9	5.1	1.02	1.017
7	10	15.7	1.064	1.06
7	11	7.3	1.029	1.026
7	12	6.5	1.025	1.022
7	13	6.3	1.025	1.022
7	14	17.6	1.072	1.068
7	15	8.2	1.033	1.029
7	16	7.9	1.031	1.028
7	17	10.2	1.04	1.037
7	18	18.2	1.075	1.071
7	19	6.9	1.027	1.024
7	20	4.9	1.019	1.016
7	21	6.1	1.024	1.02
7	22	16.1	1.066	1.062
11	1	15.7	1.064	1.061
11	2	22	1.091	1.088
11	3	12.5	1.05	1.047
11	4	17.9	1.073	1.07
11	5	17.2	1.07	1.071
11	6	20.7	1.086	1.083
11	7	0.4	1.001	0.998
11	8	4.3	1.017	1.014
11	9	3.5	1.014	1.01
11	10	13.3	1.053	1.05
11	11	3.6	1.014	1.011
11	12	3.4	1.013	1.01
11	13	3.2	1.012	1.009
11	14	14.3	1.058	1.055
11	15	4.1	1.016	1.013
11	16	3.7	1.014	1.011
11	17	6.2	1.024	1.021
11	18	14.6	1.059	1.056
11	19	5.2	1.02	1.017
11	20	3.1	1.012	1.013
11	21	2.7	1.011	1.007
11	22	13.3	1.053	1.05
13	1	16	1.065	1.063
13	2	21.6	1.09	1.087
13	3	11.9	1.048	1.045
13	4	18	1.074	1.071
13	5	17.1	1.07	1.067
13	6	20.2	1.084	1.08
13	7	1.1	1.004	1.001
13	8	2.7	1.011	1.008
13	9	3.4	1.013	1.014
13	10	11.8	1.047	1.044
13	11	2.6	1.01	1.007
13	12	2.3	1.009	1.006
13	13	2	1.008	1.004
13	14	12.9	1.052	1.049
13	15	2.4	1.009	1.006
13	16	2.5	1.01	1.006
13	17	4.4	1.017	1.014
13	18	12.5	1.05	1.047
13	19	4.7	1.018	1.015
13	20	2.7	1.011	1.007
13	21	2.2	1.008	1.005
13	22	12	1.048	1.045
