Condition	Mean	Num	SD	SEM	SP	ABV
CR_0	0.316942753	14	0.001222662	0.00032677	CR	0
CR_0.5	0.295190372	10	0.002895939	0.000915776	CR	0.5
CR_1	0.244036426	8	0.005345162	0.0018898	CR	1
CR_1.5	0.229932892	12	0.002931242	0.000846177	CR	1.5
CR_2	0.219261111	15	0.002301347	0.000594205	CR	2
CR_3	0.199212502	19	0.000820875	0.000188322	CR	3
CR_4	0.169614975	22	0.000789217	0.000168262	CR	4
HU_0	0.382596276	17	0.027388266	0.00664263	HU	0
HU_0.5	0.290659389	18	0.055612444	0.013107979	HU	0.5
HU_1	0.323236168	4	0.012984013	0.006492007	HU	1
HU_1.5	0.321588255	10	0.004634699	0.00146562	HU	1.5
HU_2	0.263227796	8	0.006471992	0.002288195	HU	2
HU_3	0.221688209	12	0.003167757	0.000914453	HU	3
HU_4	0.172111125	12	0.003096824	0.000893976	HU	4
HU_5	0.178910876	16	0.00188322	0.000470805	HU	5
MP_0	0.312887225	29	0.01045058	0.001940624	MP	0
MP_0.5	0.281298027	34	0.019484327	0.003341534	MP	0.5
MP_1	0.232587812	7	0.006274837	0.002371666	MP	1
MP_1.5	0.254912555	16	0.000953579	0.000238395	MP	1.5
MP_2	0.244206059	13	0.001962101	0.000544189	MP	2
MP_3	0.229135574	21	0.001310676	0.000286013	MP	3
MP_4	0.202593402	20	0.000270169	6.04E-05	MP	4
MP_5	0.172624071	21	0.000463017	0.000101039	MP	5
SC_0	0.264126288	24	0.011524591	0.002352447	SC	0
SC_0.5	0.233945407	24	0.004656688	0.000950542	SC	0.5
SC_1	0.19815163	23	0.008101288	0.001689235	SC	1
SC_1.5	0.191865052	31	0.013180967	0.002367371	SC	1.5
SC_2	0.189378353	26	0.016675399	0.003270315	SC	2
SC_3	0.205124709	29	0.012261282	0.002276863	SC	3
SC_4	0.209577898	31	0.009731338	0.0017478	SC	4
SC_5	0.213763198	30	0.013436563	0.00245317	SC	5
TD_0	0.241569601	25	0.004340109	0.000868022	TD	0
TD_0.5	0.212233177	25	0.005209402	0.00104188	TD	0.5
TD_1	0.17920749	15	0.00328508	0.000848204	TD	1
TD_1.5	0.163072639	17	0.002913556	0.000706641	TD	1.5
TD_2	0.164326035	16	0.003026307	0.000756577	TD	2
TD_3	0.178858174	39	0.001675043	0.000268222	TD	3
TD_4	0.155891941	38	0.004680007	0.000759197	TD	4
TD_5	0.150306664	40	0.003415979	0.000540114	TD	5
