SP_ABV	GR_Mean	GR_SD	N	SP	ABV	GR_SEM	K
CR_0	0.312244681	0.027589804	35	CR	0	0.004663528	0.630862492
CR_1	0.305078337	0.040817254	32	CR	1	0.007215539	0.667662519
CR_2	0.258502317	0.019593348	53	CR	2	0.002691353	0.639062512
CR_3	0.205463446	0.017398688	52	CR	3	0.002412764	0.538012522
CR_4	0.17523669	0.020203401	66	CR	4	0.002486867	0.333562496
HU_0	0.414431609	0.01435976	14	HU	0	0.003837807	0.895162511
HU_1	0.375415612	0.026988092	15	HU	1	0.006968295	0.948512482
HU_2	0.335077551	0.009380219	21	HU	2	0.002046931	0.92916249
HU_3	0.268790164	0.016462383	22	HU	3	0.003509792	0.897562492
HU_4	0.26271241	0.019545379	32	HU	4	0.003455167	0.818762499
MP_0	0.285944964	0.011691747	24	MP	0	0.002386568	0.962612498
MP_1	0.279302653	0.018529648	21	MP	1	0.004043501	0.946662533
MP_2	0.228568061	0.013234697	32	MP	2	0.002339586	0.837462503
MP_3	0.216535617	0.018622689	33	MP	3	0.003241794	0.816162485
MP_4	0.195352922	0.011609422	43	MP	4	0.00177042	0.605862486
SC_0	0.290872251	0.009124252	17	SC	0	0.002212956	1.370062518
SC_1	0.2931692	0.029275895	20	SC	1	0.006546289	1.366862523
SC_2	0.238343383	0.004814772	21	SC	2	0.001050669	1.284362483
SC_3	0.261751215	0.00882093	21	SC	3	0.001924885	1.270662474
SC_4	0.265373453	0.014284005	29	SC	4	0.002652473	1.324012506
TD_0	0.275464228	0.003664435	24	TD	0	0.000748	1.417812514
TD_1	0.251879814	0.019299027	26	TD	1	0.00378485	1.405812549
TD_2	0.219959184	0.001343135	32	TD	2	0.000237435	1.371662485
TD_3	0.197913973	0.012606035	29	TD	3	0.002340882	1.36271255
TD_4	0.191222343	0.013547586	40	TD	4	0.002142061	1.333112466
